Year,NameLength
1880,5.773885350318471
1881,5.750533049040512
1882,5.80544747081712
1883,5.77134724857685
1884,5.795221843003413
1885,5.772765246449457
1886,5.789391575663027
1887,5.764931087289433
1888,5.757123473541384
1889,5.743069641649764
1890,5.773142112125163
1891,5.78016960208741
1892,5.813365442504515
1893,5.791162227602905
1894,5.8160987074030555
1895,5.8246681415929205
1896,5.8273972602739725
1897,5.827682045580878
1898,5.844556962025316
1899,5.825190010857764
1900,5.875393612235717
1901,5.870303654143077
1902,5.8824681684622915
1903,5.924627940470475
1904,5.920554272517321
1905,5.915398388540734
1906,5.923873873873874
1907,5.943726552730304
1908,5.967953985209531
1909,6.000392464678179
1910,6.0132616487455195
1911,6.028591352859135
1912,6.041799709724238
1913,6.072565416779066
1914,6.095577746077033
1915,6.141131467686733
1916,6.1360201511335015
1917,6.175706214689265
1918,6.17170993733214
1919,6.193020327397014
1920,6.2065198543436795
1921,6.21175468483816
1922,6.237346692002073
1923,6.245687401986409
1924,6.232542372881356
1925,6.243631952867787
1926,6.230345072927784
1927,6.231702963227419
1928,6.252941176470588
1929,6.23611900701156
1930,6.236516104440633
1931,6.225793491361992
1932,6.2481365241271085
1933,6.229312474269246
1934,6.234667202895636
1935,6.241569589209075
1936,6.219728171334432
1937,6.252129817444219
1938,6.25045045045045
1939,6.248282828282829
1940,6.258654994031039
1941,6.265145554681354
1942,6.263666790628487
1943,6.259687034277198
1944,6.242227732214381
1945,6.2443723769553605
1946,6.24832922968695
1947,6.253276539973788
1948,6.271312696573415
1949,6.268622280817403
1950,6.247913598429062
1951,6.271044583936907
1952,6.249960870245735
1953,6.235955056179775
1954,6.2181132075471695
1955,6.219465081723626
1956,6.229317851959362
1957,6.204247434435576
1958,6.213138063415328
1959,6.230929553980825
1960,6.2251637554585155
1961,6.263674986723314
1962,6.265322261763543
1963,6.266249021143304
1964,6.277514413837284
1965,6.2957652993495286
1966,6.298871687221202
1967,6.298777381558838
1968,6.308527510064658
1969,6.320854386770786
1970,6.3351507376523415
1971,6.349367613518557
1972,6.349337748344371
1973,6.350260018354237
1974,6.3501512637845225
1975,6.349157012338702
1976,6.357836846929422
1977,6.364583333333333
1978,6.375141636886603
1979,6.373987135577646
1980,6.35578029929288
1981,6.364851566344104
1982,6.369586374695864
1983,6.373457045812278
1984,6.391543513957307
1985,6.404158336665334
1986,6.4201667575781185
1987,6.450241254523522
1988,6.460236277193488
1989,6.473470790378006
1990,6.468294604174872
1991,6.470968576231734
1992,6.4703433256469385
1993,6.451484271156402
1994,6.435262757044935
1995,6.414206817749
1996,6.387654942427484
1997,6.38423462442767
1998,6.365903614457832
1999,6.339588127692217
2000,6.334560280876607
2001,6.32181797952826
2002,6.316173624550733
2003,6.30769647990454
2004,6.3029949022939675
2005,6.306345733041575
2006,6.321020886296795
2007,6.31597104125164
2008,6.3270329670329675
2009,6.324535776182223
2010,6.323551656330358
2011,6.32562295751634
2012,6.315204588518462
2013,6.315431714404317
2014,6.320087381670654
2015,6.3053957962982325
2016,6.292368839427663
2017,6.2841180299414185
2018,6.258640648255334
2019,6.237005775211017
2020,6.204981718464351
2021,6.195081874327157
2022,6.183407591224409
2023,6.174413962242628
