Year,share_of_unique_names
1880,1.0352330922917996
1881,1.0200863484606266
1882,0.9532022216658785
1883,0.9383903133903134
1884,0.9083933374154194
1885,0.899627973394461
1886,0.8869946655781032
1887,0.8946308448986862
1888,0.8252063015753939
1889,0.82919390466793
1890,0.8057696045215547
1891,0.8264997493004675
1892,0.782239720447021
1893,0.775932927831662
1894,0.7634957518773382
1895,0.7738831556284163
1896,0.7670710076581007
1897,0.7681468830059778
1898,0.7632260308381961
1899,0.7904799097084837
1900,0.7415339044111761
1901,0.8117988677432159
1902,0.7732710273295642
1903,0.7951261780884143
1904,0.7862348972084121
1905,0.7660733084833875
1906,0.7517854905400326
1907,0.7530645237235729
1908,0.7280624087678575
1909,0.7338117893718249
1910,0.7036516747666475
1911,0.6856175697869279
1912,0.6172518763919522
1913,0.5935511555593983
1914,0.5522707308330149
1915,0.5048518427041437
1916,0.4941910291066164
1917,0.4910905447035746
1918,0.4824507982249957
1919,0.4918951013123397
1920,0.48126914186048453
1921,0.47605376569071595
1922,0.4820157902011494
1923,0.4757231173748771
1924,0.47242858721432085
1925,0.4740488834674322
1926,0.4742706886035841
1927,0.46979499930813834
1928,0.4716858433552124
1929,0.47261781187894464
1930,0.46601972790203194
1931,0.4675425183804883
1932,0.47772909068418906
1933,0.48197695876309116
1934,0.4762424632451524
1935,0.4666386282941511
1936,0.46675387864206913
1937,0.4633388971594412
1938,0.452678141763025
1939,0.45139398670257147
1940,0.4395266125230978
1941,0.42082539388230467
1942,0.3981709899339294
1943,0.3847220619611795
1944,0.3950383246698156
1945,0.40104691453232744
1946,0.36186965564468293
1947,0.3443253445791886
1948,0.3557924494964368
1949,0.35467314601743793
1950,0.35672943727113365
1951,0.34500106615491233
1952,0.3445436293402979
1953,0.34534226464156587
1954,0.3411598404659342
1955,0.3442013327189195
1956,0.3431758559597792
1957,0.34310853594961743
1958,0.34960394292403707
1959,0.35573169417651845
1960,0.3624335274753102
1961,0.3731881275439296
1962,0.38581333794390527
1963,0.39753200179309656
1964,0.41191139023392664
1965,0.42676864244741874
1966,0.4504413994768686
1967,0.4755960244242665
1968,0.4997171297447828
1969,0.5161902221431853
1970,0.53508943041063
1971,0.5797599699962496
1972,0.6352883482042784
1973,0.6725428731508842
1974,0.6982509315009499
1975,0.7282462414756709
1976,0.7446438200023207
1977,0.7388772171045379
1978,0.7489607378239208
1979,0.7457187050122189
1980,0.7324798375318525
1981,0.7310477051492881
1982,0.7281635102087579
1983,0.7225495806327262
1984,0.7233754193706633
1985,0.7267078651815986
1986,0.748070510877422
1987,0.7629166376680887
1988,0.7795512947222771
1989,0.7892527105813023
1990,0.8024462125581727
1991,0.8248885285772193
1992,0.8467015680683088
1993,0.8733704115438131
1994,0.8823692476732523
1995,0.8958264145106478
1996,0.9066668796465751
1997,0.9285223900747723
1998,0.9395352470043824
1999,0.955445254289271
2000,0.9724563402402202
2001,0.9983932178575534
2002,1.0065479884345772
2003,1.0091854099716517
2004,1.0257169997124158
2005,1.0388820300038484
2006,1.055335544201941
2007,1.0706684902174892
2008,1.0830748853051468
2009,1.099607745768729
2010,1.1160857483396303
2011,1.1136681957995194
2012,1.1092541803664226
2013,1.0987563733513952
2014,1.0767906419018636
2015,1.0720166984845139
2016,1.065544240696675
2017,1.0686470682343558
2018,1.0673882613768548
2019,1.0740989927041433
2020,1.084378848665218
2021,1.077348875709015
2022,1.0833668875030016
2023,1.0985437544094003
