Year,share_of_unique_names
1880,0.9575527197031406
1881,0.9887328138184345
1882,0.9666977464243618
1883,0.9844683393070489
1884,0.9830307055102149
1885,1.0176346719357323
1886,1.0019497400346622
1887,1.0521541055704016
1888,0.9739185118988515
1889,1.0047024778440947
1890,1.0457198443579765
1891,1.1137354112519888
1892,1.0324906789035933
1893,1.0496981783863673
1894,1.0702439361481584
1895,1.057123873451795
1896,1.0588294331164376
1897,1.089954503933237
1898,1.0506581896727392
1899,1.1298264774834998
1900,1.000830702774547
1901,1.1365023904120526
1902,1.0761454426871024
1903,1.0953527186721574
1904,1.0888059817985982
1905,1.0740172477646686
1906,1.0611772834462352
1907,1.0549902605805512
1908,1.026318858609027
1909,1.0238054586697236
1910,0.9469228868017796
1911,0.8846346180228261
1912,0.6756725325741612
1913,0.6362119926253256
1914,0.574100857867656
1915,0.5173366706851588
1916,0.5095036187677091
1917,0.49725386635951174
1918,0.47489790139134336
1919,0.49075222828038784
1920,0.4687354665228547
1921,0.4525856394621993
1922,0.4564598674639781
1923,0.4474003521544371
1924,0.4387564036806101
1925,0.4361423757975482
1926,0.4355703477178707
1927,0.4260261987033754
1928,0.42641247439313185
1929,0.4225528888393044
1930,0.4138986850378633
1931,0.4156202417926785
1932,0.41009590612807023
1933,0.41916288451840644
1934,0.4073268473521818
1935,0.39805667674052564
1936,0.38922698383314824
1937,0.3768929024128646
1938,0.3637957009896866
1939,0.3585042206463376
1940,0.3396501181054132
1941,0.3258225350002768
1942,0.29281389519232026
1943,0.2830592539707118
1944,0.2868268758763849
1945,0.2810988341420281
1946,0.2474150118966103
1947,0.2332308291036218
1948,0.23931298536537549
1949,0.2369962139234712
1950,0.23431761627208775
1951,0.22588013853415317
1952,0.21896732416887854
1953,0.22004877578855037
1954,0.21385348779833419
1955,0.2137120402605908
1956,0.21051178520895883
1957,0.2111042504547503
1958,0.21224530563324012
1959,0.21428902865483013
1960,0.21561579956783034
1961,0.21905495585939047
1962,0.22375582959359405
1963,0.22753010921051334
1964,0.23048678226300587
1965,0.2378577003541258
1966,0.2545623574044284
1967,0.2609664992642935
1968,0.27306699807541274
1969,0.2819879957995364
1970,0.2921895002268101
1971,0.3198770477898684
1972,0.35460183904615744
1973,0.3769917011782595
1974,0.3817546340929846
1975,0.40576706690481573
1976,0.4139099224946501
1977,0.4174590375926123
1978,0.4117020836023201
1979,0.4106492323705438
1980,0.40883289810061413
1981,0.40685149529647735
1982,0.4060860556363797
1983,0.4096138484400869
1984,0.4065637495616059
1985,0.41050729871913283
1986,0.42515039647758907
1987,0.4366599371471086
1988,0.44365660393721723
1989,0.4613617644001248
1990,0.46192378817432256
1991,0.4775840425152759
1992,0.49168368616561325
1993,0.5185180652734138
1994,0.5302215407742074
1995,0.5426754055093375
1996,0.5561362940437349
1997,0.5736287789446992
1998,0.5917571524917895
1999,0.6047332840282913
2000,0.6170456964143322
2001,0.6333730188755969
2002,0.6432478039021365
2003,0.6459935891756202
2004,0.6665158423479417
2005,0.6694094694799758
2006,0.6832992438012285
2007,0.6936867469879519
2008,0.716790699567131
2009,0.7329557775614873
2010,0.7438487028004329
2011,0.7561728395061729
2012,0.7514205481799844
2013,0.7438046687705169
2014,0.7332057241819342
2015,0.7338175687138357
2016,0.7488152458404426
2017,0.770513829076881
2018,0.7772042140857862
2019,0.7877367939145965
2020,0.8148990890836822
2021,0.8061842577636747
2022,0.8215486746492732
2023,0.8316952970331949
