Name,Gender,Count,Year,NameLength,MaxCount,TotalCount,Percentage
John,M,9655,1880,4,9655,110490,8.738347361752195
John,M,8768,1881,4,8768,100735,8.704025413212884
John,M,9557,1882,4,9557,113686,8.406488046021497
John,M,8894,1883,4,8894,104625,8.500836320191159
John,M,9388,1884,4,9388,114442,8.203282011848795
John,M,8756,1885,4,8756,107799,8.12252432768393
John,M,9026,1886,4,9026,110784,8.147385904101675
John,M,8110,1887,4,8110,101411,7.997160071392649
John,M,9247,1888,4,9247,120852,7.651507629166253
John,M,8548,1889,4,8548,110580,7.730150117561946
John,M,8502,1890,4,8502,111024,7.6578037181150025
John,M,7680,1891,4,7680,101191,7.5896077714421235
John,M,9039,1892,4,9039,122035,7.406891465563158
John,M,8049,1893,4,8049,112318,7.1662600829786856
John,M,8237,1894,4,8237,115768,7.115092253472461
John,M,8320,1895,4,8320,117394,7.0872446632706945
John,M,8138,1896,4,8138,119566,6.806282722513089
John,M,7550,1897,4,7550,112757,6.695814893975541
John,M,8159,1898,4,8159,122685,6.650364755267556
John,M,6990,1899,4,6990,106211,6.581239231341386
John,M,9829,1900,4,9829,150475,6.53198205682007
John,M,6900,1901,4,6900,106467,6.480881399870382
John,M,7907,1902,4,7907,122660,6.446274254035546
John,M,7608,1903,4,7608,119231,6.380890875695079
John,M,8108,1904,4,8108,128122,6.328343297794289
John,M,8059,1905,4,8059,132307,6.091136523388785
John,M,8264,1906,4,8264,133154,6.206347537437854
John,M,8983,1907,4,8983,146826,6.118126217427431
John,M,9343,1908,4,9343,154338,6.053596651505138
John,M,9590,1909,4,9590,163996,5.847703602526891
John,M,11450,1910,4,11450,194208,5.895740649200857
John,M,13446,1911,4,13446,225969,5.950373723829375
John,M,24587,1912,4,24587,429942,5.718678333356593
John,M,29329,1913,4,29329,512565,5.722005989484261
John,M,37947,1914,4,37947,654763,5.795532123837175
John,M,47576,1915,4,47576,848577,5.606562515835334
John,M,50043,1916,4,50043,890082,5.622290979932186
John,M,51852,1917,4,51852,925483,5.602696105709127
John,M,56558,1918,4,56558,1013481,5.580568357966257
John,M,53523,1919,4,53523,980128,5.460817362630187
John,M,56913,1920,4,56913,1064353,5.347192143959758
John,M,58215,1921,4,58215,1101449,5.285310531853949
John,M,57281,1922,4,57281,1088157,5.264038185666223
John,M,57467,1923,4,57467,1096110,5.242813221300782
Robert,M,60800,1924,6,60800,1132747,5.367482765348308
Robert,M,60895,1925,6,60895,1115920,5.456932396587569
Robert,M,61131,1926,6,61131,1110498,5.504827563849733
Robert,M,61673,1927,6,61673,1126926,5.472675224460169
Robert,M,60700,1928,6,60700,1107613,5.480253482037498
Robert,M,59808,1929,6,59808,1075605,5.560405539208166
Robert,M,62148,1930,6,62148,1097370,5.663358757757183
Robert,M,60519,1931,6,60519,1039651,5.821088038197433
Robert,M,59269,1932,6,59269,1044146,5.676313465741381
Robert,M,54219,1933,6,54219,991500,5.4683812405446295
Robert,M,55839,1934,6,55839,1032586,5.407685171017232
Robert,M,56526,1935,6,56526,1041309,5.428359881648963
Robert,M,58501,1936,6,58501,1037184,5.640368536344564
Robert,M,61841,1937,6,61841,1066616,5.797869148784567
Robert,M,62271,1938,6,62271,1109139,5.614354918544925
Robert,M,59660,1939,6,59660,1106821,5.3902121481251255
James,M,62480,1940,5,62480,1159134,5.3902309827854245
James,M,66751,1941,5,66751,1228276,5.43452774457858
James,M,77174,1942,5,77174,1381082,5.58793757358361
James,M,80275,1943,5,80275,1427263,5.624401389232398
James,M,76956,1944,5,76956,1362843,5.646725264759037
James,M,74461,1945,5,74461,1345790,5.532884030940934
James,M,87438,1946,5,87438,1623992,5.3841398233488835
James,M,94761,1947,5,94761,1829518,5.1795609553991815
James,M,88604,1948,5,88604,1754606,5.0497946547544
James,M,86858,1949,5,86858,1773868,4.896531196233316
James,M,86225,1950,5,86225,1790305,4.816218465568716
James,M,87252,1951,5,87252,1882857,4.634021595904522
James,M,87065,1952,5,87065,1943669,4.479414962115463
Robert,M,86246,1953,6,86246,1972290,4.372886340244082
Michael,M,88563,1954,7,88563,2038779,4.34392349538621
Michael,M,88355,1955,7,88355,2059781,4.289533693145048
Michael,M,90693,1956,7,90693,2115321,4.287434389390547
