Year,share_of_unique_names
1880,0.9375434277659765
1881,0.9492028564311219
1882,0.9082168345122398
1883,0.9043766853349927
1884,0.8863842668846345
1885,0.8880898801763725
1886,0.8714656681693738
1887,0.8953365697493462
1888,0.8194367457609008
1889,0.8271441722674825
1890,0.8211651587088299
1891,0.8560305854774795
1892,0.8032921219951312
1893,0.8062160425308172
1894,0.7986654462783077
1895,0.797388190450144
1896,0.7941614170144677
1897,0.7963522857299319
1898,0.7830543576568665
1899,0.8186089837693155
1900,0.7535662807406405
1901,0.8388951222051287
1902,0.7925364527981837
1903,0.8121678270313378
1904,0.8057300767066929
1905,0.7857540502542908
1906,0.7718502232460654
1907,0.771824122082292
1908,0.7449094443875984
1909,0.7505516172949627
1910,0.7066061068779826
1911,0.6820037313085345
1912,0.5794176675326725
1913,0.5508697040130647
1914,0.50559679626306
1915,0.4590625562777295
1916,0.4493348118164924
1917,0.44235704497321543
1918,0.42849010092524015
1919,0.4409436430901217
1920,0.42578524318683947
1921,0.41666256158163
1922,0.42190240503591936
1923,0.4143351267587528
1924,0.40867260969771324
1925,0.4076192353764296
1926,0.40659489515426867
1927,0.3995497035605928
1928,0.4004559199937371
1929,0.3975089318623891
1930,0.39185206774830794
1931,0.3948455758905172
1932,0.39506876877417374
1933,0.4010639021482101
1934,0.3944044738015468
1935,0.3868179486590566
1936,0.3804461096449154
1937,0.37397354400009014
1938,0.36405594936571556
1939,0.36043902580710746
1940,0.346819754915777
1941,0.3318040139912608
1942,0.30687198500013546
1943,0.2970003075226851
1944,0.3034509318765111
1945,0.30457591385025046
1946,0.27174491342844875
1947,0.25831006090620884
1948,0.26615449763157545
1949,0.26521354970917477
1950,0.26491650320491594
1951,0.25604544969610893
1952,0.2521586327141137
1953,0.25306128380335124
1954,0.24822367211263188
1955,0.24938780064517543
1956,0.2478512203865208
1957,0.24718816619078918
1958,0.25148461062698446
1959,0.2550327529800533
1960,0.2587916332544601
1961,0.26581663287825813
1962,0.27240365805571054
1963,0.28044641025563294
1964,0.2884325505637978
1965,0.2990223917874621
1966,0.31750178603745977
1967,0.33132216927652586
1968,0.3478015831928067
1969,0.35889920695734445
1970,0.37182843652935726
1971,0.4033757113339106
1972,0.445877179195283
1973,0.47314220253429734
1974,0.48496710526315784
1975,0.5095759947512282
1976,0.5225237220167208
1977,0.5213744312765473
1978,0.5238167255862021
1979,0.5214067733285722
1980,0.5147351276966982
1981,0.5131623601537174
1982,0.5109264950579271
1983,0.5104126844063251
1984,0.5089925747909797
1985,0.5115194138373063
1986,0.5285151925275222
1987,0.5404535860590378
1988,0.5530925249962042
1989,0.5625944897579086
1990,0.5738507740027382
1991,0.5926438632451949
1992,0.6082664250679496
1993,0.6302692078665618
1994,0.6414558675619324
1995,0.6544475453438267
1996,0.6664849670034142
1997,0.6864458389599386
1998,0.6994938674659226
1999,0.7132863422193393
2000,0.7280561279710969
2001,0.7477427465747826
2002,0.7567414000518441
2003,0.7599915413296525
2004,0.7724897942304325
2005,0.7846958302239508
2006,0.7999150613214285
2007,0.811481473420398
2008,0.8278165073746253
2009,0.8448239478841962
2010,0.8566643916099662
2011,0.8609429247286072
2012,0.8564950349322755
2013,0.8475631872458367
2014,0.8312426998749938
2015,0.8286824678520663
2016,0.8306425973722856
2017,0.8418009034001852
2018,0.8446139180171591
2019,0.8505845408385804
2020,0.8641803319207452
2021,0.8558250733376528
2022,0.8665987294778832
2023,0.8778538210373141
